season,week,gameId,homeTeam,awayTeam,spread,homeWinProb
2020,1,401235700,Army,Middle Tennessee,-3.5,0.595
2020,1,401237353,Marshall,Eastern Kentucky,-25.5,0.961
2020,1,401212553,Memphis,Arkansas State,-18.5,0.899
2020,1,401234576,Navy,BYU,1,0.473
2020,1,401207098,North Texas,Houston Christian,-23,0.944
2020,1,401207101,Southern Mississippi,South Alabama,-12.5,0.806
2020,1,401212484,Texas State,SMU,24.5,0.046
2020,1,401238035,UAB,Central Arkansas,-21,0.926
2020,1,401239884,UTEP,Stephen F. Austin,-4,0.609
2020,2,401236081,Appalachian State,Charlotte,-16.5,0.872
2020,2,401240113,Army,Louisiana Monroe,-24.5,0.954
2020,2,401234563,Florida State,Georgia Tech,-12.5,0.806
2020,2,401215298,Georgia Southern,Campbell,-27.5,0.971
2020,2,401236221,Iowa State,Louisiana,-13.5,0.824
2020,2,401236658,Kansas,Coastal Carolina,-6,0.66
2020,2,401236053,Kansas State,Arkansas State,-14.5,0.841
2020,2,401234564,Louisville,Western Kentucky,-13,0.815
2020,2,401234559,Miami,UAB,-15.5,0.857
2020,2,401234565,North Carolina,Syracuse,-24,0.951
2020,2,401234574,Notre Dame,Duke,-21.5,0.931
2020,2,401236054,Oklahoma,Missouri State,-50.5,1
2020,2,401240233,Pittsburgh,Austin Peay,-30.5,0.982
2020,2,401239973,South Alabama,Tulane,11.5,0.214
2020,2,401240039,South Florida,The Citadel,-17.5,0.886
2020,2,401236222,Texas,UTEP,-45,0.999
2020,2,401207113,Texas State,UT San Antonio,-6,0.66
2020,2,401236039,Texas Tech,Houston Christian,-40,0.997
2020,2,401234562,Wake Forest,Clemson,34.5,0.009
2020,2,401236038,West Virginia,Eastern Kentucky,-41,0.998
2020,3,401212541,Cincinnati,Austin Peay,-39.5,0.997
2020,3,401237492,Clemson,The Citadel,-50.5,1
2020,3,401240126,Coastal Carolina,Campbell,-27.5,0.971
2020,3,401234567,Duke,Boston College,-3.5,0.595
2020,3,401215301,Georgia State,Louisiana,17,0.121
2020,3,401234568,Georgia Tech,UCF,9.5,0.256
2020,3,401215302,Louisiana Monroe,Texas State,3,0.418
2020,3,401234569,Louisville,Miami,2.5,0.432
2020,3,401236939,Marshall,Appalachian State,6,0.34
2020,3,401240640,Middle Tennessee,Troy,2,0.445
2020,3,401234570,NC State,Wake Forest,2,0.445
2020,3,401207120,North Texas,SMU,14.5,0.159
2020,3,401241282,Notre Dame,South Florida,-22.5,0.94
2020,3,401236041,Oklahoma State,Tulsa,-24,0.951
2020,3,401234571,Pittsburgh,Syracuse,-21,0.926
2020,3,401207106,Southern Mississippi,Louisiana Tech,-7,0.685
2020,3,401212522,Tulane,Navy,-5.5,0.648
2020,3,401239885,UTEP,Abilene Christian,-8.5,0.721
2020,3,401240041,UT San Antonio,Stephen F. Austin,-18,0.893
2020,3,401207124,Western Kentucky,Liberty,-14.5,0.841
2020,4,401236253,Appalachian State,Campbell,-33.5,0.99
2020,4,401237033,Arkansas,Georgia,28,0.027
2020,4,401237034,Auburn,Kentucky,-6.5,0.673
2020,4,401235993,Baylor,Kansas,-17,0.879
2020,4,401241303,Boston College,Texas State,-21.5,0.931
2020,4,401236223,BYU,Troy,-14.5,0.841
2020,4,401240996,Cincinnati,Army,-12.5,0.806
2020,4,401212536,East Carolina,UCF,28,0.027
2020,4,401207126,Liberty,Florida International,-9.5,0.744
2020,4,401215303,Louisiana,Georgia Southern,-11.5,0.786
2020,4,401240194,Louisiana Monroe,UTEP,-9.5,0.744
2020,4,401232157,Louisiana Tech,Houston Christian,-23.5,0.947
2020,4,401237035,LSU,Mississippi State,-14.5,0.841
2020,4,401234593,Miami,Florida State,-12,0.796
2020,4,401236951,Missouri,Alabama,28.5,0.025
2020,4,401235996,Oklahoma,Kansas State,-27.5,0.971
2020,4,401235997,Oklahoma State,West Virginia,-6.5,0.673
2020,4,401236952,Ole Miss,Florida,14,0.167
2020,4,401234595,Pittsburgh,Louisville,-2.5,0.568
2020,4,401212485,SMU,Stephen F. Austin,-38.5,0.996
2020,4,401207132,South Alabama,UAB,7.5,0.302
2020,4,401237036,South Carolina,Tennessee,4,0.391
2020,4,401234734,Southern Mississippi,Tulane,3.5,0.405
2020,4,401234594,Syracuse,Georgia Tech,7.5,0.302
2020,4,401235994,TCU,Iowa State,3.5,0.405
2020,4,401237037,Texas A&M,Vanderbilt,-31.5,0.985
2020,4,401235995,Texas Tech,Texas,17.5,0.114
2020,4,401207134,UT San Antonio,Middle Tennessee,-6,0.66
2020,4,401234638,Virginia,Duke,-4,0.609
2020,4,401234566,Virginia Tech,NC State,-6,0.66
2020,5,401212557,Air Force,Navy,6.5,0.327
2020,5,401237093,Alabama,Texas A&M,-18,0.893
2020,5,401240040,Army,Abilene Christian,-31,0.984
2020,5,401234597,Boston College,North Carolina,14.5,0.159
2020,5,401246275,BYU,Louisiana Tech,-24,0.951
2020,5,401212476,Cincinnati,South Florida,-22.5,0.94
2020,5,401234598,Clemson,Virginia,-28,0.973
2020,5,401215304,Coastal Carolina,Arkansas State,3.5,0.405
2020,5,401234599,Duke,Virginia Tech,11,0.224
2020,5,401237096,Florida,South Carolina,-14.5,0.841
2020,5,401207136,Florida Atlantic,Charlotte,-5,0.635
2020,5,401238034,Florida State,Jacksonville State,-27,0.969
2020,5,401237095,Georgia,Auburn,-7.5,0.698
2020,5,401212547,Georgia State,East Carolina,1.5,0.459
2020,5,401235999,Iowa State,Oklahoma,7.5,0.302
2020,5,401236000,Kansas,Oklahoma State,21.5,0.069
2020,5,401236001,Kansas State,Texas Tech,-1,0.527
2020,5,401237097,Kentucky,Ole Miss,-7,0.685
2020,5,401237513,Liberty,North Alabama,-33,0.989
2020,5,401215305,Louisiana Monroe,Georgia Southern,19.5,0.089
2020,5,401207138,Middle Tennessee,Western Kentucky,7,0.315
2020,5,401237094,Mississippi State,Arkansas,-16.5,0.872
2020,5,401207139,North Texas,Southern Mississippi,-1.5,0.541
2020,5,401234600,Pittsburgh,NC State,-14,0.833
2020,5,401212486,SMU,Memphis,-2,0.555
2020,5,401237099,Tennessee,Missouri,-10,0.755
2020,5,401236002,Texas,TCU,-10.5,0.766
2020,5,401207141,UAB,UT San Antonio,-21.5,0.931
2020,5,401212531,UCF,Tulsa,-20.5,0.921
2020,5,401237098,Vanderbilt,LSU,21,0.074
2020,5,401240282,Wake Forest,Campbell,-34.5,0.991
2020,5,401235998,West Virginia,Baylor,1.5,0.459
2020,6,401246425,Arkansas State,Central Arkansas,-15.5,0.857
2020,6,401240114,Army,The Citadel,-30.5,0.982
2020,6,401237101,Auburn,Arkansas,-13.5,0.824
2020,6,401234603,Boston College,Pittsburgh,6.5,0.327
2020,6,401240997,BYU,UT San Antonio,-34,0.99
2020,6,401234604,Clemson,Miami,-14.5,0.841
2020,6,401207143,Florida International,Middle Tennessee,-6.5,0.673
2020,6,401237103,Georgia,Tennessee,-12,0.796
2020,6,401234601,Georgia Tech,Louisville,4.5,0.378
2020,6,401212523,Houston,Tulane,-6.5,0.673
2020,6,401236003,Iowa State,Texas Tech,-10,0.755
2020,6,401237104,Kentucky,Mississippi State,-3.5,0.595
2020,6,401207215,Liberty,Louisiana Monroe,-17,0.879
2020,6,401207145,Louisiana Tech,UTEP,-14.5,0.841
2020,6,401237105,LSU,Missouri,14,0.167
2020,6,401212515,Navy,Temple,4,0.391
2020,6,401234607,North Carolina,Virginia Tech,-3.5,0.595
2020,6,401207142,North Texas,Charlotte,3,0.418
2020,6,401234606,Notre Dame,Florida State,-20.5,0.921
2020,6,401236005,Oklahoma,Texas,-3,0.582
2020,6,401237100,Ole Miss,Alabama,24,0.049
2020,6,401212477,South Florida,East Carolina,-5.5,0.648
2020,6,401234605,Syracuse,Duke,2.5,0.432
2020,6,401236004,TCU,Kansas State,-11,0.776
2020,6,401237102,Texas A&M,Florida,6,0.34
2020,6,401215308,Troy,Texas State,-7,0.685
2020,6,401237106,Vanderbilt,South Carolina,14,0.167
2020,6,401234608,Virginia,NC State,-7,0.685
2020,6,401207146,Western Kentucky,Marshall,6.5,0.327
2020,7,401237107,Alabama,Georgia,-6,0.66
2020,7,401237108,Arkansas,Ole Miss,-1,0.527
2020,7,401215310,Arkansas State,Georgia State,-3.5,0.595
2020,7,401212548,East Carolina,Navy,3.5,0.405
2020,7,401234612,Florida State,North Carolina,13.5,0.176
2020,7,401250215,Georgia Southern,UMass,-31,0.984
2020,7,401234610,Georgia Tech,Clemson,26.5,0.034
2020,7,401212551,Houston,BYU,3,0.418
2020,7,401215311,Louisiana,Coastal Carolina,-9.5,0.744
2020,7,401207149,Louisiana Tech,Marshall,12,0.204
2020,7,401212537,Memphis,UCF,3,0.418
2020,7,401234614,Miami,Pittsburgh,-11.5,0.786
2020,7,401207150,Middle Tennessee,North Texas,-3.5,0.595
2020,7,401237112,Mississippi State,Texas A&M,4.5,0.378
2020,7,401234611,NC State,Duke,-3.5,0.595
2020,7,401234613,Notre Dame,Louisville,-15.5,0.857
2020,7,401215313,South Alabama,Texas State,-5,0.635
2020,7,401237109,South Carolina,Auburn,2.5,0.432
2020,7,401234615,Syracuse,Liberty,3,0.418
2020,7,401212478,Temple,South Florida,-14,0.833
2020,7,401237111,Tennessee,Kentucky,-6.5,0.673
2020,7,401239872,Troy,Eastern Kentucky,-30,0.981
2020,7,401212487,Tulane,SMU,6.5,0.327
2020,7,401207153,UAB,Western Kentucky,-11.5,0.786
2020,7,401240115,UT San Antonio,Army,8.5,0.279
2020,7,401234609,Virginia Tech,Boston College,-13,0.815
2020,7,401234616,Wake Forest,Virginia,-2.5,0.568
2020,7,401236007,West Virginia,Kansas,-21,0.926
2020,8,401240642,Appalachian State,Arkansas State,-13.5,0.824
2020,8,401248997,Boise State,Utah State,-17,0.879
2020,8,401234617,Boston College,Georgia Tech,-3.5,0.595
2020,8,401240998,BYU,Texas State,-30,0.981
2020,8,401207154,Charlotte,UTEP,-17.5,0.886
2020,8,401234618,Clemson,Syracuse,-47.5,0.999
2020,8,401215316,Coastal Carolina,Georgia Southern,-1,0.527
2020,8,401250783,Florida International,Jacksonville State,-10.5,0.766
2020,8,401248994,Fresno State,Hawai'i,-3,0.582
2020,8,401247295,Indiana,Penn State,6.5,0.327
2020,8,401236010,Kansas State,Kansas,-19,0.905
2020,8,401207160,Liberty,Southern Mississippi,-14,0.833
2020,8,401234619,Louisville,Florida State,-5.5,0.648
2020,8,401237118,LSU,South Carolina,-4.5,0.622
2020,8,401207156,Marshall,Florida Atlantic,-19,0.905
2020,8,401212516,Memphis,Temple,-14,0.833
2020,8,401234620,Miami,Virginia,-13.5,0.824
2020,8,401247299,Michigan State,Rutgers,-9.5,0.744
2020,8,401247294,Minnesota,Michigan,3,0.418
2020,8,401237122,Missouri,Kentucky,3,0.418
2020,8,401212552,Navy,Houston,15.5,0.143
2020,8,401248998,Nevada,Wyoming,3,0.418
2020,8,401234621,North Carolina,NC State,-15,0.85
2020,8,401247298,Northwestern,Maryland,-13,0.815
2020,8,401247293,Ohio State,Nebraska,-27.5,0.971
2020,8,401236009,Oklahoma State,Iowa State,-2.5,0.568
2020,8,401237115,Ole Miss,Auburn,3.5,0.405
2020,8,401234622,Pittsburgh,Notre Dame,10,0.245
2020,8,401247296,Purdue,Iowa,3.5,0.405
2020,8,401207158,Rice,Middle Tennessee,-3.5,0.595
2020,8,401248996,San Diego State,UNLV,-14,0.833
2020,8,401248993,San José State,Air Force,7.5,0.302
2020,8,401212488,SMU,Cincinnati,-1,0.527
2020,8,401250784,South Alabama,Louisiana Monroe,-14.5,0.841
2020,8,401212479,South Florida,Tulsa,12,0.204
2020,8,401236011,TCU,Oklahoma,6.5,0.327
2020,8,401237114,Tennessee,Alabama,21.5,0.069
2020,8,401236008,Texas,Baylor,-11,0.776
2020,8,401236012,Texas Tech,West Virginia,2.5,0.432
2020,8,401215317,Troy,Georgia State,-2.5,0.568
2020,8,401238036,UAB,Louisiana,2.5,0.432
2020,8,401212524,UCF,Tulane,-21,0.926
2020,8,401207157,UT San Antonio,Louisiana Tech,2.5,0.432
2020,8,401234623,Wake Forest,Virginia Tech,10.5,0.234
2020,8,401207102,Western Kentucky,Chattanooga,-14,0.833
2020,8,401247297,Wisconsin,Illinois,-20.5,0.921
2020,9,401248999,Air Force,Boise State,13.5,0.176
2020,9,401237119,Alabama,Mississippi State,-29.5,0.979
2020,9,401215320,Arkansas State,Troy,-3.5,0.595
2020,9,401237121,Auburn,LSU,-1,0.527
2020,9,401236013,Baylor,TCU,2.5,0.432
2020,9,401239887,BYU,Western Kentucky,-31,0.984
2020,9,401212543,Cincinnati,Memphis,-6.5,0.673
2020,9,401234624,Clemson,Boston College,-26.5,0.966
2020,9,401234625,Duke,Charlotte,-10.5,0.766
2020,9,401237116,Florida,Missouri,-13.5,0.824
2020,9,401207162,Florida Atlantic,UT San Antonio,-5,0.635
2020,9,401249000,Fresno State,Colorado State,2.5,0.432
2020,9,401215321,Georgia Southern,South Alabama,-3.5,0.595
2020,9,401215318,Georgia State,Coastal Carolina,3.5,0.405
2020,9,401234626,Georgia Tech,Notre Dame,20.5,0.079
2020,9,401212538,Houston,UCF,3,0.418
2020,9,401247301,Illinois,Purdue,9.5,0.256
2020,9,401247303,Iowa,Northwestern,1,0.473
2020,9,401236014,Kansas,Iowa State,27.5,0.029
2020,9,401237117,Kentucky,Georgia,17,0.121
2020,9,401215319,Louisiana Monroe,Appalachian State,28.5,0.025
2020,9,401207163,Louisiana Tech,UAB,13,0.185
2020,9,401234627,Louisville,Virginia Tech,5,0.365
2020,9,401247302,Maryland,Minnesota,18.5,0.101
2020,9,401247305,Michigan,Michigan State,-21.5,0.931
2020,9,401249003,New Mexico,San José State,-13.5,0.824
2020,9,401236017,Oklahoma State,Texas,-3.5,0.595
2020,9,401247306,Penn State,Ohio State,10,0.245
2020,9,401247300,Rutgers,Indiana,11.5,0.214
2020,9,401212489,SMU,Navy,-13,0.815
2020,9,401207166,Southern Mississippi,Rice,1,0.473
2020,9,401234629,Syracuse,Wake Forest,14,0.167
2020,9,401237120,Texas A&M,Arkansas,-14.5,0.841
2020,9,401215322,Texas State,Louisiana,16.5,0.128
2020,9,401236016,Texas Tech,Oklahoma,16,0.135
2020,9,401212517,Tulane,Temple,-7,0.685
2020,9,401212533,Tulsa,East Carolina,-17,0.879
2020,9,401249002,UNLV,Nevada,13.5,0.176
2020,9,401249004,Utah State,San Diego State,9,0.267
2020,9,401237123,Vanderbilt,Ole Miss,17,0.121
2020,9,401234628,Virginia,North Carolina,7.5,0.302
2020,9,401236015,West Virginia,Kansas State,-5,0.635
2020,9,401249001,Wyoming,Hawai'i,3,0.418
2020,10,401249857,Akron,Western Michigan,20.5,0.079
2020,10,401237124,Arkansas,Tennessee,2,0.445
2020,10,401249005,Boise State,BYU,4.5,0.378
2020,10,401249860,Central Michigan,Ohio,2.5,0.432
2020,10,401212544,Cincinnati,Houston,-12.5,0.806
2020,10,401215325,Coastal Carolina,South Alabama,-17,0.879
2020,10,401249402,Colorado,UCLA,6.5,0.327
2020,10,401249010,Colorado State,Wyoming,3.5,0.405
2020,10,401234633,Duke,North Carolina,11.5,0.214
2020,10,401212525,East Carolina,Tulane,3.5,0.405
2020,10,401207169,Florida Atlantic,Western Kentucky,-7,0.685
2020,10,401234634,Florida State,Pittsburgh,1.5,0.459
2020,10,401237125,Georgia,Florida,-3,0.582
2020,10,401215326,Georgia Southern,Troy,3,0.418
